Exchanges:  {'EX_cpd00067_e0_o': 21.753473, 'EX_cpd00007_e0_o': 111.932184, 'EX_cpd00048_e0_i': 0.351318, 'EX_cpd00001_e0_i': 95.59228, 'EX_cpd00013_e0_i': 15.547783, 'EX_cpd11632_e0_i': 909.497991, 'EX_cpd00011_e0_i': 109.265404, 'EX_cpd00009_e0_i': 5.520706, 'EX_cpd00099_e0_i': 0.0}
[Init] V0_init=-2: unscored reactions left at 0 (no mean/2 imputation)

[Init] Injecting 9 exchange flux ceilings into V0...
-> Successfully replaced 9 matrix columns.

[Init] media chain: set 39 columns from media_chain_init.tsv
-> [Init] Successfully forced 'bio1' initialization to 0.0
[EarlyStop] patience_limit=500  min_delta=0.001
QP-Loss 1000 2018.731 1763.9012
QP-Loss 2000 1073.5116 809.30615
QP-Loss 3000 685.7557 455.04953
QP-Loss 4000 492.68735 294.8338
QP-Loss 5000 381.12338 208.18816
QP-Loss 6000 310.15775 156.46837
QP-Loss 7000 261.60312 123.13553
QP-Loss 8000 226.5815 100.793106
QP-Loss 9000 200.30455 85.01158
QP-Loss 10000 179.81377 73.43753
QP-Loss 11000 163.30762 64.610855
QP-Loss 12000 149.66783 57.729992
QP-Loss 13000 138.19719 52.23664
QP-Loss 14000 128.39763 47.775845
QP-Loss 15000 119.91504 44.131924
QP-Loss 16000 112.48684 41.088104
QP-Loss 17000 105.976135 38.585453
QP-Loss 18000 100.190636 36.444054
QP-Loss 19000 94.997826 34.58101
QP-Loss 20000 90.30243 32.938625
QP-Loss 21000 86.05786 31.47892
QP-Loss 22000 82.18316 30.171276
QP-Loss 23000 78.62406 28.987232
QP-Loss 24000 75.33994 27.903156
QP-Loss 25000 72.29444 26.8983
QP-Loss 26000 69.46462 25.962385
QP-Loss 27000 66.82995 25.08808
QP-Loss 28000 64.36062 24.26528
QP-Loss 29000 62.04124 23.484917
QP-Loss 30000 59.859226 22.740952
QP-Loss 31000 57.79839 22.031496
QP-Loss 32000 55.849686 21.347845
QP-Loss 33000 54.00282 20.687202
QP-Loss 34000 52.248104 20.053495
QP-Loss 35000 50.57719 19.44392
QP-Loss 36000 48.98158 18.853697
QP-Loss 37000 47.460667 18.291847
QP-Loss 38000 46.00659 17.751448
QP-Loss 39000 44.61507 17.231169
QP-Loss 40000 43.281357 16.728764
QP-Loss 41000 42.002747 16.241173
QP-Loss 42000 40.77416 15.769682
QP-Loss 43000 39.592575 15.313484
QP-Loss 44000 38.4554 14.871793
QP-Loss 45000 37.35979 14.443789
QP-Loss 46000 36.303814 14.029129
QP-Loss 47000 35.284927 13.626856
QP-Loss 48000 34.301826 13.237029
QP-Loss 49000 33.35192 12.858867
QP-Loss 50000 32.434605 12.492499
QP-Loss 51000 31.547632 12.136222
QP-Loss 52000 30.689997 11.790692
QP-Loss 53000 29.860167 11.455553
QP-Loss 54000 29.057123 11.130346
QP-Loss 55000 28.279745 10.814758
QP-Loss 56000 27.52684 10.508842
QP-Loss 57000 26.797745 10.212203
QP-Loss 58000 26.09134 9.9242735
QP-Loss 59000 25.406416 9.644853
QP-Loss 60000 24.742699 9.3735075
QP-Loss 61000 24.099005 9.110193
QP-Loss 62000 23.474625 8.854983
QP-Loss 63000 22.869085 8.607982
QP-Loss 64000 22.28156 8.368382
QP-Loss 65000 21.711401 8.13596
QP-Loss 66000 21.15785 7.910571
QP-Loss 67000 20.62023 7.6920795
QP-Loss 68000 20.098063 7.48038
QP-Loss 69000 19.590889 7.2752595
QP-Loss 70000 19.098124 7.076566
QP-Loss 71000 18.619547 6.8841386
QP-Loss 72000 18.154526 6.6976995
QP-Loss 73000 17.702673 6.5172524
QP-Loss 74000 17.263577 6.3427496
QP-Loss 75000 16.83697 6.1740313
QP-Loss 76000 16.422653 6.010951
QP-Loss 77000 16.019896 5.8531475
QP-Loss 78000 15.628245 5.7004156
QP-Loss 79000 15.247482 5.5527835
QP-Loss 80000 14.877464 5.4102154
QP-Loss 81000 14.517812 5.2725425
QP-Loss 82000 14.167892 5.1394196
QP-Loss 83000 13.827497 5.0107636
QP-Loss 84000 13.496287 4.8862624
QP-Loss 85000 13.174096 4.766073
QP-Loss 86000 12.860776 4.650113
QP-Loss 87000 12.555928 4.53797
QP-Loss 88000 12.259112 4.4294415
QP-Loss 89000 11.970447 4.324989
QP-Loss 90000 11.689557 4.224302
QP-Loss 91000 11.416321 4.127239
QP-Loss 92000 11.150398 4.0335736
QP-Loss 93000 10.891476 3.943259
QP-Loss 94000 10.639569 3.8562276
QP-Loss 95000 10.393963 3.77178
QP-Loss 96000 10.155367 3.6909366
QP-Loss 97000 9.923114 3.6132731
QP-Loss 98000 9.696892 3.5384083
QP-Loss 99000 9.47651 3.4662108
QP-Loss 100000 9.26179 3.3963652
QP-Loss 101000 9.052676 3.3291893
QP-Loss 102000 8.8491535 3.2645597
QP-Loss 103000 8.651084 3.2022803
QP-Loss 104000 8.458093 3.1422133
QP-Loss 105000 8.269981 3.0841753
QP-Loss 106000 8.0867195 3.028195
QP-Loss 107000 7.9082246 2.9741597
QP-Loss 108000 7.7342095 2.9217799
QP-Loss 109000 7.5648084 2.8714979
QP-Loss 110000 7.399582 2.8228247
QP-Loss 111000 7.2385926 2.776029
QP-Loss 112000 7.0817237 2.730888
QP-Loss 113000 6.9287033 2.6871674
QP-Loss 114000 6.7794366 2.644928
QP-Loss 115000 6.6338687 2.604062
QP-Loss 116000 6.4921856 2.564877
QP-Loss 117000 6.353953 2.5269625
QP-Loss 118000 6.2191467 2.4902985
QP-Loss 119000 6.087687 2.454831
QP-Loss 120000 5.9594617 2.4205673
QP-Loss 121000 5.83436 2.387407
QP-Loss 122000 5.7124114 2.3553321
QP-Loss 123000 5.5934033 2.3242388
QP-Loss 124000 5.47732 2.2942617
QP-Loss 125000 5.3641434 2.265169
QP-Loss 126000 5.253664 2.2368228
QP-Loss 127000 5.145949 2.2092333
QP-Loss 128000 5.0408664 2.1826406
QP-Loss 129000 4.938373 2.1566515
QP-Loss 130000 4.838372 2.1313043
QP-Loss 131000 4.740778 2.1066015
QP-Loss 132000 4.645689 2.0827584
QP-Loss 133000 4.55283 2.0594578
QP-Loss 134000 4.462218 2.0367498
QP-Loss 135000 4.373776 2.014597
QP-Loss 136000 4.2873683 1.9928368
QP-Loss 137000 4.203106 1.9717499
QP-Loss 138000 4.12083 1.9511449
QP-Loss 139000 4.0403733 1.9308791
QP-Loss 140000 3.9619563 1.9113901
QP-Loss 141000 3.8855133 1.8925565
QP-Loss 142000 3.8108635 1.8740838
QP-Loss 143000 3.737937 1.8559674
QP-Loss 144000 3.6667786 1.8380873
QP-Loss 145000 3.5972445 1.8204887
QP-Loss 146000 3.5292861 1.8032334
QP-Loss 147000 3.4629278 1.7863464
QP-Loss 148000 3.3981354 1.7698263
QP-Loss 149000 3.3349009 1.7537355
QP-Loss 150000 3.2731464 1.7379783
QP-Loss 151000 3.212863 1.7225103
QP-Loss 152000 3.1539066 1.7072186
QP-Loss 153000 3.096328 1.6921394
QP-Loss 154000 3.0400782 1.6772125
QP-Loss 155000 2.9850895 1.6624646
QP-Loss 156000 2.931296 1.6479474
QP-Loss 157000 2.8787193 1.6337072
QP-Loss 158000 2.827404 1.619881
QP-Loss 159000 2.7772007 1.6062367
QP-Loss 160000 2.7281058 1.5927323
