Total_Loss	Data_Loss	Mass_Loss
4.885681867599487305e-01	2.478429377079010010e-01	2.406004965305328369e-01
4.821300506591796875e-01	2.398359775543212891e-01	2.422150373458862305e-01
8.459314107894897461e-01	6.622194051742553711e-01	1.837120354175567627e-01
7.518418431282043457e-01	4.003235399723052979e-01	3.513195514678955078e-01
5.327646136283874512e-01	2.925670742988586426e-01	2.400825470685958862e-01
8.164203166961669922e-01	4.343019723892211914e-01	3.818947374820709229e-01
1.410594701766967773e+00	4.554583132266998291e-01	9.551362991333007812e-01
1.344813585281372070e+00	4.033675789833068848e-01	9.414455294609069824e-01
9.215062856674194336e-01	4.886547625064849854e-01	4.325812757015228271e-01
4.275158941745758057e-01	1.902572512626647949e-01	2.371423840522766113e-01
1.004617214202880859e+00	5.647965073585510254e-01	4.398207664489746094e-01
7.328683733940124512e-01	1.143201440572738647e-01	6.185482144355773926e-01
6.843538284301757812e-01	1.019857227802276611e-01	5.823681354522705078e-01
6.239312291145324707e-01	9.478792548179626465e-02	5.291428565979003906e-01
6.169411540031433105e-01	9.605627506971359253e-02	5.208848714828491211e-01
6.313157677650451660e-01	8.273845165967941284e-02	5.485773086547851562e-01
5.158540606498718262e-01	6.940576434135437012e-02	4.464482367038726807e-01
6.571816802024841309e-01	1.016810387372970581e-01	5.555005669593811035e-01
5.743610262870788574e-01	8.839343488216400146e-02	4.859675765037536621e-01
6.659731268882751465e-01	1.005778163671493530e-01	5.653951168060302734e-01
5.869905948638916016e-01	9.103190898895263672e-02	4.959587156772613525e-01
5.523355007171630859e-01	6.988213211297988892e-02	4.824533462524414062e-01
5.869678258895874023e-01	8.145929872989654541e-02	5.055067539215087891e-01
5.739361047744750977e-01	7.991711050271987915e-02	4.940189719200134277e-01
