Total_Loss	Data_Loss	Mass_Loss
6.385468691587448120e-02	2.312977332621812820e-03	6.153828278183937073e-02
5.824147164821624756e-02	2.940174890682101250e-03	5.529975891113281250e-02
2.807119488716125488e-02	3.367627738043665886e-03	2.470356784760951996e-02
5.416884645819664001e-02	2.156111877411603928e-03	5.200960114598274231e-02
6.571713089942932129e-02	4.366801586002111435e-03	6.134741008281707764e-02
4.818365350365638733e-02	2.686223946511745453e-03	4.549443721771240234e-02
9.967126883566379547e-03	1.391152734868228436e-03	8.575974032282829285e-03
9.600123390555381775e-03	1.359598012641072273e-03	8.240525610744953156e-03
4.735718294978141785e-02	2.357554621994495392e-03	4.499663785099983215e-02
5.021819844841957092e-02	2.816242398694157600e-03	4.739867895841598511e-02
1.759379729628562927e-02	3.118606284260749817e-03	1.447519008070230484e-02
8.899956010282039642e-04	6.975317955948412418e-05	8.202423923648893833e-04
6.962888292036950588e-04	5.632333704852499068e-05	6.399654666893184185e-04
7.276925607584416866e-04	5.917846283409744501e-05	6.685141124762594700e-04
7.035773596726357937e-04	5.655475979438051581e-05	6.470226217061281204e-04
7.102552335709333420e-04	8.341189095517620444e-05	6.268433644436299801e-04
4.958136123605072498e-04	3.934204505640082061e-05	4.564715491142123938e-04
6.705005653202533722e-04	5.335409878171049058e-05	6.171464920043945312e-04
5.606933846138417721e-04	4.556026397040113807e-05	5.151331424713134766e-04
7.766798953525722027e-04	6.293955084402114153e-05	7.137403590604662895e-04
6.184157100506126881e-04	5.035211506765335798e-05	5.680631729774177074e-04
5.799100617878139019e-04	4.282183726900257170e-05	5.370881990529596806e-04
6.301797693595290184e-04	5.125655661686323583e-05	5.789232091046869755e-04
5.585153703577816486e-04	4.571562385535798967e-05	5.127997719682753086e-04
