Total_Loss	Data_Loss	Mass_Loss
6.385468691587448120e-02	2.312977332621812820e-03	6.153828278183937073e-02
5.824147164821624756e-02	2.940174890682101250e-03	5.529975891113281250e-02
2.807119488716125488e-02	3.367627738043665886e-03	2.470356784760951996e-02
5.416884645819664001e-02	2.156111877411603928e-03	5.200960114598274231e-02
6.571713089942932129e-02	4.366801586002111435e-03	6.134741008281707764e-02
4.818365350365638733e-02	2.686223946511745453e-03	4.549443721771240234e-02
8.311450481414794922e-03	9.968255180865526199e-04	7.314624730497598648e-03
7.867204025387763977e-03	9.830084163695573807e-04	6.884195376187562943e-03
4.735718294978141785e-02	2.357554621994495392e-03	4.499663785099983215e-02
5.021819844841957092e-02	2.816242398694157600e-03	4.739867895841598511e-02
1.595245674252510071e-02	2.901114057749509811e-03	1.305134315043687820e-02
5.315901362337172031e-04	4.345560591900721192e-05	4.881345084868371487e-04
4.092110903002321720e-04	3.527042281348258257e-05	3.739406529348343611e-04
4.307573835831135511e-04	3.708544318214990199e-05	3.936719440389424562e-04
4.132894391659647226e-04	3.507566725602373481e-05	3.782137646339833736e-04
4.086545377504080534e-04	5.131293801241554320e-05	3.573416033759713173e-04
2.816544729284942150e-04	2.454646892147138715e-05	2.571080112829804420e-04
3.929260128643363714e-04	3.319111419841647148e-05	3.597348986659198999e-04
3.258227661717683077e-04	2.822360875143203884e-05	2.975991519633680582e-04
4.619031096808612347e-04	3.979818211519159377e-05	4.221049312036484480e-04
3.619342460297048092e-04	3.095728607149794698e-05	3.309769672341644764e-04
3.330380131956189871e-04	2.584267531346995384e-05	3.071953251492232084e-04
3.680991358123719692e-04	3.218921483494341373e-05	3.359099209774285555e-04
3.240287478547543287e-04	2.860036693164147437e-05	2.954283845610916615e-04
