Total_Loss	Data_Loss	Mass_Loss
6.385468691587448120e-02	2.312977332621812820e-03	6.153828278183937073e-02
5.824147164821624756e-02	2.940174890682101250e-03	5.529975891113281250e-02
3.472401946783065796e-02	6.902325432747602463e-03	2.782169543206691742e-02
5.416884645819664001e-02	2.156111877411603928e-03	5.200960114598274231e-02
6.571713089942932129e-02	4.366801586002111435e-03	6.134741008281707764e-02
4.818365350365638733e-02	2.686223946511745453e-03	4.549443721771240234e-02
1.724116504192352295e-02	4.178627394139766693e-03	1.306253764778375626e-02
1.712173037230968475e-02	4.098612815141677856e-03	1.302311755716800690e-02
4.735718294978141785e-02	2.357554621994495392e-03	4.499663785099983215e-02
5.021819844841957092e-02	2.816242398694157600e-03	4.739867895841598511e-02
2.533524483442306519e-02	6.175455637276172638e-03	1.915979012846946716e-02
2.830610144883394241e-03	2.333243173779919744e-04	2.597285900264978409e-03
2.297102706506848335e-03	1.907465775730088353e-04	2.106356201693415642e-03
2.380507299676537514e-03	1.948600984178483486e-04	2.185647143051028252e-03
2.328057074919342995e-03	1.867699902504682541e-04	2.141287084668874741e-03
2.384210936725139618e-03	2.490243932697921991e-04	2.135186456143856049e-03
1.790750538930296898e-03	1.430058764526620507e-04	1.647744677029550076e-03
2.244253177195787430e-03	1.897368347272276878e-04	2.054516226053237915e-03
1.941754133440554142e-03	1.577722869114950299e-04	1.783981802873313427e-03
2.516917185857892036e-03	2.064984728349372745e-04	2.310418756678700447e-03
2.088509267196059227e-03	1.678133412497118115e-04	1.920695882290601730e-03
2.050450537353754044e-03	1.657540706219151616e-04	1.884696539491415024e-03
2.123229671269655228e-03	1.716682163532823324e-04	1.951561542227864265e-03
1.920455950312316418e-03	1.588944869581609964e-04	1.761561492457985878e-03
