Total_Loss	Data_Loss	Mass_Loss
6.385468691587448120e-02	2.312977332621812820e-03	6.153828278183937073e-02
5.824147164821624756e-02	2.940174890682101250e-03	5.529975891113281250e-02
2.856571227312088013e-02	3.487588604912161827e-03	2.507812343537807465e-02
5.416884645819664001e-02	2.156111877411603928e-03	5.200960114598274231e-02
6.571713089942932129e-02	4.366801586002111435e-03	6.134741008281707764e-02
4.818365350365638733e-02	2.686223946511745453e-03	4.549443721771240234e-02
1.233223825693130493e-02	2.282938919961452484e-03	1.004929933696985245e-02
1.206229534000158310e-02	2.225420437753200531e-03	9.836874902248382568e-03
4.735718294978141785e-02	2.357554621994495392e-03	4.499663785099983215e-02
5.021819844841957092e-02	2.816242398694157600e-03	4.739867895841598511e-02
1.965758763253688812e-02	3.403484821319580078e-03	1.625410281121730804e-02
1.436426304280757904e-03	1.096656342269852757e-04	1.326760626398026943e-03
1.142740831710398197e-03	8.922311099013313651e-05	1.053517684340476990e-03
1.189122907817363739e-03	9.316618525190278888e-05	1.095956773497164249e-03
1.157325576059520245e-03	8.833471656544134021e-05	1.068990910425782204e-03
1.184897380881011486e-03	1.307097554672509432e-04	1.054187654517591000e-03
8.457145886495709419e-04	6.222359661478549242e-05	7.834909483790397644e-04
1.104724360629916191e-03	8.490769687341526151e-05	1.019816612824797630e-03
9.391666972078382969e-04	7.182233821367844939e-05	8.673443808220326900e-04
1.263927901163697243e-03	9.898569987853989005e-05	1.164942164905369282e-03
1.025095582008361816e-03	7.923189696157351136e-05	9.458637214265763760e-04
9.788146708160638809e-04	6.970159301999956369e-05	9.091130923479795456e-04
1.043939380906522274e-03	8.155388786690309644e-05	9.623855003155767918e-04
9.284166735596954823e-04	7.009726687101647258e-05	8.583193994127213955e-04
