Total_Loss	Data_Loss	Mass_Loss
6.794465333223342896e-02	2.781847957521677017e-03	6.515882909297943115e-02
7.505819946527481079e-02	5.385144613683223724e-03	6.967053562402725220e-02
2.069070339202880859e-01	1.449917703866958618e-01	6.191525980830192566e-02
6.775648891925811768e-02	4.411579109728336334e-03	6.333990395069122314e-02
8.830118179321289062e-02	1.086699590086936951e-02	7.742861658334732056e-02
6.369396299123764038e-02	4.270080476999282837e-03	5.941859632730484009e-02
1.405380368232727051e-01	5.514867976307868958e-02	8.538935333490371704e-02
1.415168046951293945e-01	5.149176344275474548e-02	9.002503752708435059e-02
7.387888431549072266e-02	5.627476144582033157e-03	6.824524700641632080e-02
6.878176331520080566e-02	5.973200779408216476e-03	6.280250847339630127e-02
1.908663809299468994e-01	1.151053830981254578e-01	7.576099783182144165e-02
8.157931268215179443e-02	1.107378397136926651e-02	7.050552964210510254e-02
7.392766326665878296e-02	1.001545879989862442e-02	6.391220539808273315e-02
7.180909812450408936e-02	9.705714881420135498e-03	6.210337951779365540e-02
6.802304089069366455e-02	8.988252840936183929e-03	5.903479084372520447e-02
7.125154137611389160e-02	9.111247956752777100e-03	6.214029341936111450e-02
6.154949218034744263e-02	8.399892598390579224e-03	5.314959958195686340e-02
7.170549035072326660e-02	9.897463954985141754e-03	6.180802732706069946e-02
6.332183629274368286e-02	8.456444367766380310e-03	5.486539378762245178e-02
7.441712915897369385e-02	1.019472070038318634e-02	6.422241032123565674e-02
6.557200849056243896e-02	9.019446559250354767e-03	5.655256286263465881e-02
6.635060161352157593e-02	8.441115729510784149e-03	5.790948867797851562e-02
6.467219442129135132e-02	8.527402766048908234e-03	5.614478886127471924e-02
6.308268010616302490e-02	8.131508715450763702e-03	5.495116859674453735e-02
