Total_Loss	Data_Loss	Mass_Loss	Data_Loss_Sq	Mass_Loss_Sq
2.774285000000000000e+05	0.000000000000000000e+00	2.774281250000000000e+05	0.000000000000000000e+00	7.696636313600000000e+10
1.268682734375000000e+05	0.000000000000000000e+00	1.268680859375000000e+05	0.000000000000000000e+00	1.609551155200000000e+10
1.079022968750000000e+05	0.000000000000000000e+00	1.079021171875000000e+05	0.000000000000000000e+00	1.164286668800000000e+10
2.808075312500000000e+05	0.000000000000000000e+00	2.808071250000000000e+05	0.000000000000000000e+00	7.885264486400000000e+10
2.251112187500000000e+05	0.000000000000000000e+00	2.251110156250000000e+05	0.000000000000000000e+00	5.067497062400000000e+10
2.850136562500000000e+05	0.000000000000000000e+00	2.850130937500000000e+05	0.000000000000000000e+00	8.123246182400000000e+10
1.360138125000000000e+05	0.000000000000000000e+00	1.360135781250000000e+05	0.000000000000000000e+00	1.849969254400000000e+10
1.237011640625000000e+05	0.000000000000000000e+00	1.237009296875000000e+05	0.000000000000000000e+00	1.530191974400000000e+10
3.799254375000000000e+05	0.000000000000000000e+00	3.799248437500000000e+05	0.000000000000000000e+00	1.443428925440000000e+11
3.088411875000000000e+05	0.000000000000000000e+00	3.088409687500000000e+05	0.000000000000000000e+00	9.538274099200000000e+10
1.122493125000000000e+05	0.000000000000000000e+00	1.122491250000000000e+05	0.000000000000000000e+00	1.259986636800000000e+10
3.189467773437500000e+04	0.000000000000000000e+00	3.189460937500000000e+04	0.000000000000000000e+00	1.017266112000000000e+09
1.810626562500000000e+04	0.000000000000000000e+00	1.810622460937500000e+04	0.000000000000000000e+00	3.278353600000000000e+08
2.119758203125000000e+04	0.000000000000000000e+00	2.119753906250000000e+04	0.000000000000000000e+00	4.493356480000000000e+08
2.123314843750000000e+04	0.000000000000000000e+00	2.123311718750000000e+04	0.000000000000000000e+00	4.508452800000000000e+08
3.768341796875000000e+04	0.000000000000000000e+00	3.768336328125000000e+04	0.000000000000000000e+00	1.420035840000000000e+09
2.423879492187500000e+04	0.000000000000000000e+00	2.423875976562500000e+04	0.000000000000000000e+00	5.875175040000000000e+08
1.899074414062500000e+04	0.000000000000000000e+00	1.899070703125000000e+04	0.000000000000000000e+00	3.606469440000000000e+08
2.339576562500000000e+04	0.000000000000000000e+00	2.339571875000000000e+04	0.000000000000000000e+00	5.473596800000000000e+08
2.987960156250000000e+04	0.000000000000000000e+00	2.987955273437500000e+04	0.000000000000000000e+00	8.927876480000000000e+08
1.876683203125000000e+04	0.000000000000000000e+00	1.876679882812500000e+04	0.000000000000000000e+00	3.521927360000000000e+08
2.879153710937500000e+04	0.000000000000000000e+00	2.879149609375000000e+04	0.000000000000000000e+00	8.289502720000000000e+08
3.575448046875000000e+04	0.000000000000000000e+00	3.575443750000000000e+04	0.000000000000000000e+00	1.278379776000000000e+09
2.218415625000000000e+04	0.000000000000000000e+00	2.218412109375000000e+04	0.000000000000000000e+00	4.921352320000000000e+08
