Total_Loss	Data_Loss	Mass_Loss
4.907315075397491455e-01	4.105899110436439514e-02	4.495441019535064697e-01
2.934470474720001221e-01	3.588788956403732300e-02	2.575040161609649658e-01
3.765489161014556885e-01	1.392719298601150513e-01	2.372769862413406372e-01
9.513884186744689941e-01	7.448031753301620483e-02	8.766146898269653320e-01
3.175967335700988770e-01	3.779176250100135803e-02	2.797568440437316895e-01
1.065156817436218262e+00	8.617223054170608521e-02	9.786319732666015625e-01
3.157220840454101562e+00	1.505049765110015869e-01	3.006715774536132812e+00
3.211041212081909180e+00	1.243790462613105774e-01	3.086662054061889648e+00
1.091738581657409668e+00	8.853065967559814453e-02	1.002879261970520020e+00
4.047148525714874268e-01	4.164948686957359314e-02	3.629789054393768311e-01
1.242958903312683105e+00	3.504501879215240479e-01	8.925086855888366699e-01
4.578178226947784424e-01	4.056376218795776367e-02	4.172540605068206787e-01
4.444802999496459961e-01	3.953877836465835571e-02	4.049415290355682373e-01
4.375101327896118164e-01	3.711992502212524414e-02	4.003902077674865723e-01
4.327942132949829102e-01	3.709498420357704163e-02	3.956992328166961670e-01
4.247654080390930176e-01	3.900304436683654785e-02	3.857623636722564697e-01
4.117577672004699707e-01	3.190127015113830566e-02	3.798564970493316650e-01
4.372517168521881104e-01	3.958811610937118530e-02	3.976635932922363281e-01
4.178434610366821289e-01	3.506741300225257874e-02	3.827760517597198486e-01
4.548667371273040771e-01	3.907521441578865051e-02	4.157915115356445312e-01
4.210331439971923828e-01	3.657953068614006042e-02	3.844536244869232178e-01
4.184329509735107422e-01	3.358783572912216187e-02	3.848451077938079834e-01
4.234524965286254883e-01	3.543629124760627747e-02	3.880161941051483154e-01
4.141246974468231201e-01	3.606474399566650391e-02	3.780599534511566162e-01
