Total_Loss	Data_Loss	Mass_Loss	Data_Loss_Sq	Mass_Loss_Sq
1.387176562500000000e+04	0.000000000000000000e+00	1.387140625000000000e+04	0.000000000000000000e+00	1.924159040000000000e+08
6.343591796875000000e+03	0.000000000000000000e+00	6.343404296875000000e+03	0.000000000000000000e+00	4.023878000000000000e+07
5.395283203125000000e+03	0.000000000000000000e+00	5.395105957031250000e+03	0.000000000000000000e+00	2.910716800000000000e+07
1.404077148437500000e+04	0.000000000000000000e+00	1.404035644531250000e+04	0.000000000000000000e+00	1.971316160000000000e+08
1.125575585937500000e+04	0.000000000000000000e+00	1.125555078125000000e+04	0.000000000000000000e+00	1.266874240000000000e+08
1.425121972656250000e+04	0.000000000000000000e+00	1.425065527343750000e+04	0.000000000000000000e+00	2.030811680000000000e+08
6.800907226562500000e+03	0.000000000000000000e+00	6.800679199218750000e+03	0.000000000000000000e+00	4.624923600000000000e+07
6.185282226562500000e+03	0.000000000000000000e+00	6.185046386718750000e+03	0.000000000000000000e+00	3.825480000000000000e+07
1.899685156250000000e+04	0.000000000000000000e+00	1.899624218750000000e+04	0.000000000000000000e+00	3.608572160000000000e+08
1.544226562500000000e+04	0.000000000000000000e+00	1.544204882812500000e+04	0.000000000000000000e+00	2.384568800000000000e+08
5.612642578125000000e+03	0.000000000000000000e+00	5.612456542968750000e+03	0.000000000000000000e+00	3.149966800000000000e+07
1.594799316406250000e+03	0.000000000000000000e+00	1.594730468750000000e+03	0.000000000000000000e+00	2.543165250000000000e+06
9.053516235351562500e+02	0.000000000000000000e+00	9.053112182617187500e+02	0.000000000000000000e+00	8.195883750000000000e+05
1.059920654296875000e+03	0.000000000000000000e+00	1.059876953125000000e+03	0.000000000000000000e+00	1.123339125000000000e+06
1.061686279296875000e+03	0.000000000000000000e+00	1.061655883789062500e+03	0.000000000000000000e+00	1.127113250000000000e+06
1.884221801757812500e+03	0.000000000000000000e+00	1.884168212890625000e+03	0.000000000000000000e+00	3.550089750000000000e+06
1.211972412109375000e+03	0.000000000000000000e+00	1.211937988281250000e+03	0.000000000000000000e+00	1.468793625000000000e+06
9.495728149414062500e+02	0.000000000000000000e+00	9.495353393554687500e+02	0.000000000000000000e+00	9.016173750000000000e+05
1.169833374023437500e+03	0.000000000000000000e+00	1.169786010742187500e+03	0.000000000000000000e+00	1.368399250000000000e+06
1.494026977539062500e+03	0.000000000000000000e+00	1.493977661132812500e+03	0.000000000000000000e+00	2.231969250000000000e+06
9.383729858398437500e+02	0.000000000000000000e+00	9.383399658203125000e+02	0.000000000000000000e+00	8.804818750000000000e+05
1.439616088867187500e+03	0.000000000000000000e+00	1.439574829101562500e+03	0.000000000000000000e+00	2.072375750000000000e+06
1.787765014648437500e+03	0.000000000000000000e+00	1.787721923828125000e+03	0.000000000000000000e+00	3.195949750000000000e+06
1.109240966796875000e+03	0.000000000000000000e+00	1.109206054687500000e+03	0.000000000000000000e+00	1.230338125000000000e+06
