Total_Loss	Data_Loss	Mass_Loss
9.683709591627120972e-03	7.062238873913884163e-04	8.975095115602016449e-03
9.528904221951961517e-03	5.000770324841141701e-04	9.026912972331047058e-03
1.950894109904766083e-02	6.002510432153940201e-03	1.350643020123243332e-02
1.305827777832746506e-02	1.254034112207591534e-03	1.180166006088256836e-02
1.103966124355792999e-02	9.323580306954681873e-04	1.010509766638278961e-02
1.186287496238946915e-02	9.749555611051619053e-04	1.088552828878164291e-02
1.391963958740234375e-01	3.754367679357528687e-02	1.016527190804481506e-01
1.400045156478881836e-01	3.779623657464981079e-02	1.022082716226577759e-01
1.659215055406093597e-02	1.642354647628962994e-03	1.494694408029317856e-02
1.072723884135484695e-02	9.709070436656475067e-04	9.753941558301448822e-03
7.808186113834381104e-02	2.608399279415607452e-02	5.199787020683288574e-02
3.270855918526649475e-02	3.981812391430139542e-03	2.872674725949764252e-02
3.223430365324020386e-02	4.097916185855865479e-03	2.813638560473918915e-02
3.013186715543270111e-02	3.906212514266371727e-03	2.622565440833568573e-02
2.978396415710449219e-02	3.789345733821392059e-03	2.599461935460567474e-02
3.323242813348770142e-02	4.564589820802211761e-03	2.866783738136291504e-02
2.990219928324222565e-02	4.000034648925065994e-03	2.590216509997844696e-02
3.127701207995414734e-02	4.165030550211668015e-03	2.711198292672634125e-02
2.948042936623096466e-02	3.718339139595627785e-03	2.576209045946598053e-02
3.115613944828510284e-02	3.985788673162460327e-03	2.717035077512264252e-02
2.964642271399497986e-02	3.734878730028867722e-03	2.591154351830482483e-02
3.330769389867782593e-02	4.749157000333070755e-03	2.855853736400604248e-02
2.942337468266487122e-02	3.675181185826659203e-03	2.574819326400756836e-02
2.801336720585823059e-02	3.731730161234736443e-03	2.428163774311542511e-02
