Total_Loss	Data_Loss	Mass_Loss
9.106172248721122742e-03	6.221593357622623444e-04	8.481685072183609009e-03
9.528904221951961517e-03	5.000770324841141701e-04	9.026912972331047058e-03
1.123292930424213409e-02	2.805071650072932243e-03	8.427857421338558197e-03
1.046224124729633331e-02	8.803670061752200127e-04	9.579483419656753540e-03
1.103966124355792999e-02	9.323580306954681873e-04	1.010509766638278961e-02
1.104222424328327179e-02	8.717262535355985165e-04	1.016810722649097443e-02
3.118592873215675354e-02	5.069351755082607269e-03	2.611657790839672089e-02
3.073485195636749268e-02	4.991392605006694794e-03	2.574345842003822327e-02
1.277381926774978638e-02	1.102067995816469193e-03	1.166923251003026962e-02
1.072723884135484695e-02	9.709070436656475067e-04	9.753941558301448822e-03
1.929635740816593170e-02	3.876834642142057419e-03	1.541952230036258698e-02
9.782841429114341736e-03	9.729534504003822803e-04	8.809887804090976715e-03
8.950459770858287811e-03	9.648340637795627117e-04	7.985625416040420532e-03
8.721673861145973206e-03	1.063023461028933525e-03	7.658650167286396027e-03
8.391760289669036865e-03	9.074658155441284180e-04	7.484294474124908447e-03
9.572475217282772064e-03	1.062929397448897362e-03	8.509545587003231049e-03
8.382052183151245117e-03	9.297095239162445068e-04	7.452342659235000610e-03
8.402239531278610229e-03	9.027357446029782295e-04	7.499503437429666519e-03
8.010172285139560699e-03	8.770707063376903534e-04	7.133101578801870346e-03
9.199433028697967529e-03	1.071639824658632278e-03	8.127792738378047943e-03
8.064529858529567719e-03	8.926942828111350536e-04	7.171835750341415405e-03
9.566765278577804565e-03	1.049170386977493763e-03	8.517595008015632629e-03
7.948512211441993713e-03	8.740596822462975979e-04	7.074452470988035202e-03
7.593299727886915207e-03	8.064767462201416492e-04	6.786822807043790817e-03
