Total_Loss	Data_Loss	Mass_Loss
2.016855590045452118e-02	2.355762990191578865e-03	1.780943945050239563e-02
1.479985564947128296e-02	1.220444799400866032e-03	1.357682701200246811e-02
5.385563522577285767e-02	1.990302465856075287e-02	3.395260870456695557e-02
3.040011785924434662e-02	4.028812516480684280e-03	2.636708319187164307e-02
2.034356258809566498e-02	2.758621471002697945e-03	1.758173480629920959e-02
2.701993845403194427e-02	3.027301281690597534e-03	2.398866228759288788e-02
3.237157464027404785e-01	9.974081814289093018e-02	2.239749431610107422e-01
3.241692781448364258e-01	9.016510844230651855e-02	2.340041697025299072e-01
3.748477250337600708e-02	4.996878560632467270e-03	3.248324617743492126e-02
2.269388362765312195e-02	3.225826658308506012e-03	1.946447789669036865e-02
2.096537649631500244e-01	8.099756389856338501e-02	1.286561936140060425e-01
6.715673208236694336e-02	8.366819471120834351e-03	5.878990888595581055e-02
6.504870206117630005e-02	8.441908285021781921e-03	5.660679563879966736e-02
6.210793554782867432e-02	7.923541590571403503e-03	5.418439581990242004e-02
6.161186099052429199e-02	7.978415116667747498e-03	5.363344773650169373e-02
6.503868103027343750e-02	9.122701361775398254e-03	5.591597780585289001e-02
5.884338170289993286e-02	8.260874077677726746e-03	5.058250948786735535e-02
6.389220058917999268e-02	8.943889290094375610e-03	5.494831129908561707e-02
5.967553332448005676e-02	7.886356674134731293e-03	5.178917571902275085e-02
6.524445861577987671e-02	8.232747204601764679e-03	5.701171234250068665e-02
6.003871560096740723e-02	8.023114874958992004e-03	5.201560258865356445e-02
6.404973566532135010e-02	9.134247899055480957e-03	5.491548776626586914e-02
5.981484055519104004e-02	7.764338050037622452e-03	5.205050110816955566e-02
5.686579644680023193e-02	8.086218498647212982e-03	4.877957701683044434e-02
