Total_Loss	Data_Loss	Mass_Loss
9.106172248721122742e-03	6.221593357622623444e-04	8.481685072183609009e-03
9.528904221951961517e-03	5.000770324841141701e-04	9.026912972331047058e-03
1.123292930424213409e-02	2.805071650072932243e-03	8.427857421338558197e-03
1.046224124729633331e-02	8.803670061752200127e-04	9.579483419656753540e-03
1.103966124355792999e-02	9.323580306954681873e-04	1.010509766638278961e-02
1.104222424328327179e-02	8.717262535355985165e-04	1.016810722649097443e-02
4.945986717939376831e-02	9.417858906090259552e-03	4.004200920462608337e-02
4.936106875538825989e-02	9.554664604365825653e-03	3.980640321969985962e-02
1.277381926774978638e-02	1.102067995816469193e-03	1.166923251003026962e-02
1.072723884135484695e-02	9.709070436656475067e-04	9.753941558301448822e-03
2.237348631024360657e-02	4.947514273226261139e-03	1.742597296833992004e-02
1.369422674179077148e-02	1.435476122424006462e-03	1.225875038653612137e-02
1.356270350515842438e-02	1.551921595819294453e-03	1.201078202575445175e-02
1.250966452062129974e-02	1.528741791844367981e-03	1.098092272877693176e-02
1.220610644668340683e-02	1.378413639031350613e-03	1.082769315689802170e-02
1.445535663515329361e-02	1.774815842509269714e-03	1.268054079264402390e-02
1.280203182250261307e-02	1.538217882625758648e-03	1.126381382346153259e-02
1.284928806126117706e-02	1.508161891251802444e-03	1.134112570434808731e-02
1.225055102258920670e-02	1.418137340806424618e-03	1.083241403102874756e-02
1.278437394648790359e-02	1.511511742137372494e-03	1.127286255359649658e-02
1.241816300898790359e-02	1.457797246985137463e-03	1.096036564558744431e-02
1.446430012583732605e-02	1.787825836800038815e-03	1.267647463828325272e-02
1.215936150401830673e-02	1.393318176269531250e-03	1.076604332774877548e-02
1.159793883562088013e-02	1.359629211947321892e-03	1.023830939084291458e-02
