Total_Loss	Data_Loss	Mass_Loss
1.537124067544937134e-02	1.556664821691811085e-03	1.381172426044940948e-02
1.185673102736473083e-02	7.828695815987884998e-04	1.107165589928627014e-02
4.144752398133277893e-02	1.477669179439544678e-02	2.667083218693733215e-02
2.323247306048870087e-02	2.845297101885080338e-03	2.038351818919181824e-02
1.581730321049690247e-02	1.856293762102723122e-03	1.395829301327466965e-02
2.025169134140014648e-02	2.048715483397245407e-03	1.819969713687896729e-02
2.515929043292999268e-01	7.752744108438491821e-02	1.740654706954956055e-01
2.518750727176666260e-01	7.711473852396011353e-02	1.747603267431259155e-01
2.869281545281410217e-02	3.496863879263401031e-03	2.519197762012481689e-02
1.748104579746723175e-02	2.191968727856874466e-03	1.528601534664630890e-02
1.583407223224639893e-01	5.911568552255630493e-02	9.922504425048828125e-02
5.415864288806915283e-02	6.767943967133760452e-03	4.739069938659667969e-02
5.264994874596595764e-02	6.774752400815486908e-03	4.587519541382789612e-02
4.998702928423881531e-02	6.395209580659866333e-03	4.359181970357894897e-02
4.962737485766410828e-02	6.378918886184692383e-03	4.324845597147941589e-02
5.323948338627815247e-02	7.392790168523788452e-03	4.584669321775436401e-02
4.802973940968513489e-02	6.657361984252929688e-03	4.137237742543220520e-02
5.160811543464660645e-02	7.118653971701860428e-03	4.448946192860603333e-02
4.834282025694847107e-02	6.304690148681402206e-03	4.203813150525093079e-02
5.225016921758651733e-02	6.642689928412437439e-03	4.560748115181922913e-02
4.849108681082725525e-02	6.376598030328750610e-03	4.211448878049850464e-02
5.268894508481025696e-02	7.472961209714412689e-03	4.521598294377326965e-02
4.831844195723533630e-02	6.221289746463298798e-03	4.209715127944946289e-02
4.604310169816017151e-02	6.427095271646976471e-03	3.961600735783576965e-02
