Total_Loss	Data_Loss	Mass_Loss
6.489197015762329102e-01	4.958962649106979370e-02	5.991403460502624512e-01
3.752358853816986084e-01	4.431486502289772034e-02	3.308427035808563232e-01
4.400733709335327148e-01	1.567907482385635376e-01	2.832826077938079834e-01
1.271847963333129883e+00	9.253350645303726196e-02	1.178886413574218750e+00
4.082343280315399170e-01	4.465681314468383789e-02	3.635158538818359375e-01
1.426338434219360352e+00	1.072279363870620728e-01	1.318608760833740234e+00
3.748220443725585938e+00	1.637298017740249634e-01	3.584490537643432617e+00
3.806964159011840820e+00	1.319706290960311890e-01	3.674993515014648438e+00
1.468517541885375977e+00	1.125841364264488220e-01	1.355463981628417969e+00
5.370693802833557129e-01	5.034567043185234070e-02	4.866012036800384521e-01
1.427917718887329102e+00	3.561105430126190186e-01	1.071807146072387695e+00
6.045306324958801270e-01	4.563856869935989380e-02	5.588920712471008301e-01
5.891183614730834961e-01	4.407196491956710815e-02	5.450463891029357910e-01
5.811218619346618652e-01	4.138598591089248657e-02	5.397358536720275879e-01
5.760741233825683594e-01	4.140521958470344543e-02	5.346689224243164062e-01
5.655559301376342773e-01	4.310441762208938599e-02	5.224515199661254883e-01
5.525910854339599609e-01	3.502419963479042053e-02	5.175668597221374512e-01
5.812779068946838379e-01	4.413973167538642883e-02	5.371381640434265137e-01
5.597087144851684570e-01	3.904836624860763550e-02	5.206603407859802246e-01
6.006537675857543945e-01	4.374798014760017395e-02	5.569058060646057129e-01
5.625496506690979004e-01	4.054893925786018372e-02	5.220007300376892090e-01
5.586810111999511719e-01	3.667543828487396240e-02	5.220055580139160156e-01
5.654589533805847168e-01	3.931633010506629944e-02	5.261425971984863281e-01
5.547214150428771973e-01	3.997892886400222778e-02	5.147424936294555664e-01
