Total_Loss	Data_Loss	Mass_Loss
1.075896248221397400e-02	8.606922347098588943e-04	9.895752184092998505e-03
9.528904221951961517e-03	5.000770324841141701e-04	9.026912972331047058e-03
2.433828823268413544e-02	7.830012589693069458e-03	1.650827564299106598e-02
1.508939731866121292e-02	1.545355538837611675e-03	1.354125887155532837e-02
1.154652144759893417e-02	1.016224152408540249e-03	1.052803080528974533e-02
1.353032793849706650e-02	1.183631131425499916e-03	1.234411355108022690e-02
1.626279205083847046e-01	4.609785601496696472e-02	1.165300607681274414e-01
1.639103293418884277e-01	4.649047181010246277e-02	1.174198612570762634e-01
1.913403719663619995e-02	2.014900324866175652e-03	1.711607538163661957e-02
1.152965985238552094e-02	1.100343069992959499e-03	1.042692642658948898e-02
9.337823092937469482e-02	3.295060247182846069e-02	6.042763218283653259e-02
3.738716989755630493e-02	4.614279139786958694e-03	3.277289122343063354e-02
3.670073300600051880e-02	4.682730883359909058e-03	3.201800212264060974e-02
3.444425016641616821e-02	4.476351663470268250e-03	2.996789850294589996e-02
3.412283211946487427e-02	4.365695174783468246e-03	2.975713647902011871e-02
3.770726546645164490e-02	5.202579777687788010e-03	3.250468522310256958e-02
3.390512615442276001e-02	4.589947871863842010e-03	2.931517921388149261e-02
3.574879467487335205e-02	4.813427571207284927e-03	3.093536756932735443e-02
3.361862152814865112e-02	4.247917328029870987e-03	2.937070466578006744e-02
3.573245555162429810e-02	4.599228966981172562e-03	3.113322518765926361e-02
3.376670181751251221e-02	4.282424226403236389e-03	2.948427759110927582e-02
3.764592856168746948e-02	5.342401564121246338e-03	3.230352699756622314e-02
3.358975797891616821e-02	4.237283021211624146e-03	2.935247495770454407e-02
3.198653832077980042e-02	4.322459455579519272e-03	2.766408026218414307e-02
