Total_Loss	Data_Loss	Mass_Loss
9.106172248721122742e-03	6.221593357622623444e-04	8.481685072183609009e-03
9.528904221951961517e-03	5.000770324841141701e-04	9.026912972331047058e-03
1.123292930424213409e-02	2.805071650072932243e-03	8.427857421338558197e-03
1.046224124729633331e-02	8.803670061752200127e-04	9.579483419656753540e-03
1.103966124355792999e-02	9.323580306954681873e-04	1.010509766638278961e-02
1.104222424328327179e-02	8.717262535355985165e-04	1.016810722649097443e-02
3.421450778841972351e-02	5.762424319982528687e-03	2.845208346843719482e-02
3.375834226608276367e-02	5.720887333154678345e-03	2.803745679557323456e-02
1.277381926774978638e-02	1.102067995816469193e-03	1.166923251003026962e-02
1.072723884135484695e-02	9.709070436656475067e-04	9.753941558301448822e-03
1.929635740816593170e-02	3.876834642142057419e-03	1.541952230036258698e-02
9.824912995100021362e-03	9.778601815924048424e-04	8.847053162753582001e-03
9.707639925181865692e-03	1.060725073330104351e-03	8.646914735436439514e-03
8.915423415601253510e-03	1.085859956219792366e-03	7.829563692212104797e-03
8.687110617756843567e-03	9.414028027094900608e-04	7.745707873255014420e-03
1.038469001650810242e-02	1.168971648439764977e-03	9.215718135237693787e-03
9.112108498811721802e-03	1.028164871968328953e-03	8.083943277597427368e-03
9.126117452979087830e-03	1.000611693598330021e-03	8.125505410134792328e-03
8.710776455700397491e-03	9.705248521640896797e-04	7.740251254290342331e-03
9.199433028697967529e-03	1.071639824658632278e-03	8.127792738378047943e-03
8.788777515292167664e-03	9.907936910167336464e-04	7.797983940690755844e-03
1.037748344242572784e-02	1.159088220447301865e-03	9.218394756317138672e-03
8.637980557978153229e-03	9.627995314076542854e-04	7.675180677324533463e-03
8.245156146585941315e-03	8.917617960833013058e-04	7.353394757956266403e-03
