Total_Loss	Data_Loss	Mass_Loss
9.106172248721122742e-03	6.221593357622623444e-04	8.481685072183609009e-03
9.528904221951961517e-03	5.000770324841141701e-04	9.026912972331047058e-03
1.123292930424213409e-02	2.805071650072932243e-03	8.427857421338558197e-03
1.046224124729633331e-02	8.803670061752200127e-04	9.579483419656753540e-03
1.103966124355792999e-02	9.323580306954681873e-04	1.010509766638278961e-02
1.104222424328327179e-02	8.717262535355985165e-04	1.016810722649097443e-02
4.215933009982109070e-02	7.612664718180894852e-03	3.454666584730148315e-02
4.180167987942695618e-02	7.687447126954793930e-03	3.411423414945602417e-02
1.277381926774978638e-02	1.102067995816469193e-03	1.166923251003026962e-02
1.072723884135484695e-02	9.709070436656475067e-04	9.753941558301448822e-03
1.929635740816593170e-02	3.876834642142057419e-03	1.541952230036258698e-02
1.180724706500768661e-02	1.207789406180381775e-03	1.059945765882730484e-02
1.168650202453136444e-02	1.310060732066631317e-03	1.037644129246473312e-02
1.074415352195501328e-02	1.308029284700751305e-03	9.436124004423618317e-03
1.048053056001663208e-02	1.161829102784395218e-03	9.318701922893524170e-03
1.248968392610549927e-02	1.472739153541624546e-03	1.101694442331790924e-02
1.102231256663799286e-02	1.289115753024816513e-03	9.733196347951889038e-03
1.102049276232719421e-02	1.257224357686936855e-03	9.763268753886222839e-03
1.052496489137411118e-02	1.204270636662840843e-03	9.320694021880626678e-03
1.099333167076110840e-02	1.286834012717008591e-03	9.706497192382812500e-03
1.065378449857234955e-02	1.234208815731108189e-03	9.419575333595275879e-03
1.248518563807010651e-02	1.472449512220919132e-03	1.101273577660322189e-02
1.043986529111862183e-02	1.180903171189129353e-03	9.258962236344814301e-03
9.967621415853500366e-03	1.129431184381246567e-03	8.838190697133541107e-03
