Total_Loss	Data_Loss	Mass_Loss
9.106172248721122742e-03	6.221593357622623444e-04	8.481685072183609009e-03
9.528904221951961517e-03	5.000770324841141701e-04	9.026912972331047058e-03
1.123292930424213409e-02	2.805071650072932243e-03	8.427857421338558197e-03
1.046224124729633331e-02	8.803670061752200127e-04	9.579483419656753540e-03
1.103966124355792999e-02	9.323580306954681873e-04	1.010509766638278961e-02
1.104222424328327179e-02	8.717262535355985165e-04	1.016810722649097443e-02
4.414498433470726013e-02	8.092720992863178253e-03	3.605226427316665649e-02
4.385385662317276001e-02	8.190139196813106537e-03	3.566371649503707886e-02
1.277381926774978638e-02	1.102067995816469193e-03	1.166923251003026962e-02
1.072723884135484695e-02	9.709070436656475067e-04	9.753941558301448822e-03
1.929635740816593170e-02	3.876834642142057419e-03	1.541952230036258698e-02
1.231871359050273895e-02	1.268645282834768295e-03	1.105006784200668335e-02
1.219330448657274246e-02	1.375146093778312206e-03	1.081815827637910843e-02
1.121360436081886292e-02	1.363833551295101643e-03	9.849770925939083099e-03
1.093920785933732986e-02	1.218475168570876122e-03	9.720732457935810089e-03
1.301961299031972885e-02	1.554034650325775146e-03	1.146557833999395370e-02
1.150198373943567276e-02	1.355811022222042084e-03	1.014617271721363068e-02
1.151146087795495987e-02	1.325189252384006977e-03	1.018627174198627472e-02
1.098915096372365952e-02	1.262579346075654030e-03	9.726571850478649139e-03
1.147347781807184219e-02	1.346057164482772350e-03	1.012742053717374802e-02
1.113024447113275528e-02	1.294707530178129673e-03	9.835536591708660126e-03
1.301530655473470688e-02	1.557364827021956444e-03	1.145794149488210678e-02
1.090262457728385925e-02	1.237401505932211876e-03	9.665222838521003723e-03
1.040265336632728577e-02	1.188871101476252079e-03	9.213781915605068207e-03
