Total_Loss	Data_Loss	Mass_Loss
2.320730743408203125e+02	4.368987083435058594e+00	2.276933593750000000e+02
1.144011688232421875e+02	2.338226795196533203e+00	1.120602035522460938e+02
7.782388305664062500e+01	3.524964094161987305e+00	7.429885101318359375e+01
3.133861389160156250e+02	7.532735824584960938e+00	3.058533630371093750e+02
1.473115844726562500e+02	5.517711639404296875e+00	1.417541961669921875e+02
3.752964477539062500e+02	1.444550037384033203e+01	3.608509216308593750e+02
1.233873519897460938e+02	6.081107616424560547e+00	1.173055419921875000e+02
1.274585037231445312e+02	6.107714176177978516e+00	1.213505172729492188e+02
3.426150207519531250e+02	1.552655029296875000e+01	3.270884704589843750e+02
2.364566192626953125e+02	1.644078254699707031e+01	2.200157775878906250e+02
7.887695312500000000e+01	2.395190000534057617e+00	7.648163604736328125e+01
1.526645355224609375e+02	3.173743009567260742e+00	1.494904785156250000e+02
1.455439147949218750e+02	2.112409114837646484e+00	1.434306182861328125e+02
1.427971954345703125e+02	2.049222707748413086e+00	1.407471160888671875e+02
1.487708892822265625e+02	2.774277687072753906e+00	1.459965209960937500e+02
2.134597930908203125e+02	8.222976684570312500e+00	2.052363739013671875e+02
1.829025726318359375e+02	5.824118614196777344e+00	1.770750579833984375e+02
1.431639709472656250e+02	2.385355949401855469e+00	1.407785797119140625e+02
1.668082427978515625e+02	3.933706521987915039e+00	1.628716888427734375e+02
1.526182403564453125e+02	2.139736652374267578e+00	1.504758300781250000e+02
1.522032012939453125e+02	3.051526546478271484e+00	1.491516113281250000e+02
1.920274200439453125e+02	4.901958465576171875e+00	1.871251525878906250e+02
1.927920989990234375e+02	5.643569469451904297e+00	1.871483612060546875e+02
1.606913909912109375e+02	3.564521312713623047e+00	1.571220855712890625e+02
