Total_Loss	Data_Loss	Mass_Loss
2.557776309549808502e-02	1.902160351164638996e-03	2.367253974080085754e-02
1.810734532773494720e-02	9.733176557347178459e-04	1.713194139301776886e-02
1.500908471643924713e-02	3.269681474193930626e-03	1.173940300941467285e-02
2.343786507844924927e-02	1.780998427420854568e-03	2.165401540696620941e-02
2.471180260181427002e-02	2.114471746608614922e-03	2.259447984397411346e-02
2.456301636993885040e-02	2.171978121623396873e-03	2.238825522363185883e-02
3.318718634545803070e-03	4.803560150321573019e-04	2.838362706825137138e-03
2.808818593621253967e-03	3.965280193369835615e-04	2.412290545180439949e-03
2.867820486426353455e-02	2.744538011029362679e-03	2.593046054244041443e-02
2.620963007211685181e-02	2.524519804865121841e-03	2.368211932480335236e-02
1.319990865886211395e-02	2.908139955252408981e-03	1.029176823794841766e-02
1.763565160217694938e-05	1.527522044852958061e-06	1.610812978469766676e-05
4.747003913507796824e-06	5.560378895097528584e-07	4.190966137684881687e-06
6.121571459516417235e-06	6.607222644561261404e-07	5.460847205540630966e-06
4.426476152730174363e-06	4.822351797884039115e-07	3.944241143472027034e-06
2.621491603349568322e-06	3.889567210535460617e-07	2.232534825452603400e-06
6.722092962263559457e-07	1.887910343612020370e-07	4.834182618651539087e-07
3.018902816620538943e-06	3.781388215884362580e-07	2.640758566485601477e-06
8.700257581040204968e-07	2.203396434197202325e-07	6.496622972917975858e-07
1.099306973628699780e-05	1.063582885763025843e-06	9.929486623150296509e-06
1.751712261466309428e-06	2.826266154443146661e-07	1.469084963900968432e-06
1.267218181055795867e-06	2.280850850411297870e-07	1.039133053382101934e-06
1.986423058042419143e-06	3.351120199113211129e-07	1.651305296945793089e-06
8.821960477689572144e-07	2.192665391476111836e-07	6.629285280723706819e-07
