Total_Loss	Data_Loss	Mass_Loss
2.557776309549808502e-02	1.902160351164638996e-03	2.367253974080085754e-02
1.810734532773494720e-02	9.733176557347178459e-04	1.713194139301776886e-02
1.500908471643924713e-02	3.269681474193930626e-03	1.173940300941467285e-02
2.343786507844924927e-02	1.780998427420854568e-03	2.165401540696620941e-02
2.471180260181427002e-02	2.114471746608614922e-03	2.259447984397411346e-02
2.456301636993885040e-02	2.171978121623396873e-03	2.238825522363185883e-02
5.394544452428817749e-03	7.094508036971092224e-04	4.685093648731708527e-03
5.347728263586759567e-03	6.313891499303281307e-04	4.716339055448770523e-03
2.867820486426353455e-02	2.744538011029362679e-03	2.593046054244041443e-02
2.620963007211685181e-02	2.524519804865121841e-03	2.368211932480335236e-02
1.319990865886211395e-02	2.908139955252408981e-03	1.029176823794841766e-02
1.218503224663436413e-03	8.558121044188737869e-05	1.132922014221549034e-03
9.791975608095526695e-04	7.145880226744338870e-05	9.077387512661516666e-04
9.966801153495907784e-04	7.262169674504548311e-05	9.240583749487996101e-04
9.655226604081690311e-04	6.894267426105216146e-05	8.965799934230744839e-04
9.712965693324804306e-04	6.720588862663134933e-05	9.040907025337219238e-04
7.195281796157360077e-04	5.076176603324711323e-05	6.687663844786584377e-04
9.254057076759636402e-04	6.627560651395469904e-05	8.591301157139241695e-04
7.791610551066696644e-04	5.594186222879216075e-05	7.232191856019198895e-04
1.090009463950991631e-03	7.959028152981773019e-05	1.010419218800961971e-03
8.556176908314228058e-04	6.140552432043477893e-05	7.942121592350304127e-04
8.599163265898823738e-04	6.088985173846594989e-05	7.990264566615223885e-04
8.676960133016109467e-04	6.132679118309170008e-05	8.063692366704344749e-04
7.813351112417876720e-04	5.659490852849557996e-05	7.247402099892497063e-04
