Total_Loss	Data_Loss	Mass_Loss
2.557776309549808502e-02	1.902160351164638996e-03	2.367253974080085754e-02
1.810734532773494720e-02	9.733176557347178459e-04	1.713194139301776886e-02
1.500908471643924713e-02	3.269681474193930626e-03	1.173940300941467285e-02
2.343786507844924927e-02	1.780998427420854568e-03	2.165401540696620941e-02
2.471180260181427002e-02	2.114471746608614922e-03	2.259447984397411346e-02
2.456301636993885040e-02	2.171978121623396873e-03	2.238825522363185883e-02
4.002681933343410492e-03	5.539866397157311440e-04	3.448695177212357521e-03
3.926845267415046692e-03	4.870049015153199434e-04	3.439840395003557205e-03
2.867820486426353455e-02	2.744538011029362679e-03	2.593046054244041443e-02
2.620963007211685181e-02	2.524519804865121841e-03	2.368211932480335236e-02
1.319990865886211395e-02	2.908139955252408981e-03	1.029176823794841766e-02
6.214312743395566940e-04	4.401306796353310347e-05	5.774181918241083622e-04
4.698441189248114824e-04	3.373393337824381888e-05	4.361101891845464706e-04
4.868384567089378834e-04	3.493797703413292766e-05	4.519004723988473415e-04
4.632222116924822330e-04	3.350176120875403285e-05	4.297204432077705860e-04
4.469534032978117466e-04	3.060764356632716954e-05	4.163457488175481558e-04
3.148024261463433504e-04	2.312625110789667815e-05	2.916761732194572687e-04
4.354623961262404919e-04	3.129841934423893690e-05	4.041639913339167833e-04
3.528281522449105978e-04	2.577250961621757597e-05	3.270556335337460041e-04
5.460950778797268867e-04	3.936438588425517082e-05	5.067306919954717159e-04
3.996806626673787832e-04	2.884306013584136963e-05	3.708376025315374136e-04
3.863198799081146717e-04	2.673433300515171140e-05	3.595855378080159426e-04
4.073702730238437653e-04	2.946246786450501531e-05	3.779077960643917322e-04
3.544150094967335463e-04	2.607093301776330918e-05	3.283440892118960619e-04
