Total_Loss	Data_Loss	Mass_Loss
2.557776309549808502e-02	1.902160351164638996e-03	2.367253974080085754e-02
1.810734532773494720e-02	9.733176557347178459e-04	1.713194139301776886e-02
1.500908471643924713e-02	3.269681474193930626e-03	1.173940300941467285e-02
2.343786507844924927e-02	1.780998427420854568e-03	2.165401540696620941e-02
2.471180260181427002e-02	2.114471746608614922e-03	2.259447984397411346e-02
2.456301636993885040e-02	2.171978121623396873e-03	2.238825522363185883e-02
6.241898518055677414e-03	8.134326781146228313e-04	5.428466014564037323e-03
6.219040136784315109e-03	7.332246750593185425e-04	5.485815461724996567e-03
2.867820486426353455e-02	2.744538011029362679e-03	2.593046054244041443e-02
2.620963007211685181e-02	2.524519804865121841e-03	2.368211932480335236e-02
1.319990865886211395e-02	2.908139955252408981e-03	1.029176823794841766e-02
1.612589578144252300e-03	1.202983185066841543e-04	1.492291223257780075e-03
1.322308322414755821e-03	1.021643329295329750e-04	1.220143982209265232e-03
1.328528742305934429e-03	1.021153511828742921e-04	1.226413412950932980e-03
1.287168939597904682e-03	9.517193393548950553e-05	1.191996969282627106e-03
1.337373512797057629e-03	9.643278463045135140e-05	1.240940764546394348e-03
1.014557201415300369e-03	7.456104503944516182e-05	9.399961563758552074e-04
1.264160266146063805e-03	9.508943912805989385e-05	1.169070834293961525e-03
1.084726303815841675e-03	7.979210204211995006e-05	1.004934194497764111e-03
1.445051049813628197e-03	1.117169449571520090e-04	1.333334017544984818e-03
1.155316946096718311e-03	8.550685015507042408e-05	1.069810125045478344e-03
1.193147851154208183e-03	9.013912494992837310e-05	1.103008748032152653e-03
1.182740088552236557e-03	8.632980461698025465e-05	1.096410327591001987e-03
1.088107703253626823e-03	8.093910582829266787e-05	1.007168553769588470e-03
