Total_Loss	Data_Loss	Mass_Loss
2.557776309549808502e-02	1.902160351164638996e-03	2.367253974080085754e-02
1.810734532773494720e-02	9.733176557347178459e-04	1.713194139301776886e-02
1.500908471643924713e-02	3.269681474193930626e-03	1.173940300941467285e-02
2.343786507844924927e-02	1.780998427420854568e-03	2.165401540696620941e-02
2.471180260181427002e-02	2.114471746608614922e-03	2.259447984397411346e-02
2.456301636993885040e-02	2.171978121623396873e-03	2.238825522363185883e-02
1.775882579386234283e-02	2.719067502766847610e-03	1.503975875675678253e-02
1.792735978960990906e-02	2.620067447423934937e-03	1.530729234218597412e-02
2.867820486426353455e-02	2.744538011029362679e-03	2.593046054244041443e-02
2.620963007211685181e-02	2.524519804865121841e-03	2.368211932480335236e-02
1.551806181669235229e-02	3.281095763668417931e-03	1.223696582019329071e-02
8.553645573556423187e-03	9.742254042066633701e-04	7.579420227557420731e-03
7.606009021401405334e-03	8.929579053074121475e-04	6.713051348924636841e-03
7.486487738788127899e-03	8.789314306341111660e-04	6.607556249946355820e-03
7.073462940752506256e-03	7.945284014567732811e-04	6.278934422880411148e-03
7.499692495912313461e-03	8.222840842790901661e-04	6.677408237010240555e-03
6.262608803808689117e-03	6.864223978482186794e-04	5.576186347752809525e-03
7.211246062070131302e-03	8.116190438158810139e-04	6.399626843631267548e-03
6.363900844007730484e-03	7.116637425497174263e-04	5.652237217873334885e-03
7.887708023190498352e-03	9.161574998870491982e-04	6.971550639718770981e-03
6.602209061384201050e-03	7.435806328430771828e-04	5.858628544956445694e-03
6.981619168072938919e-03	7.493115845136344433e-04	6.232307758182287216e-03
6.696899887174367905e-03	7.566534914076328278e-04	5.940246395766735077e-03
6.401050835847854614e-03	7.088164566084742546e-04	5.692234262824058533e-03
