Total_Loss	Data_Loss	Mass_Loss
4.035434126853942871e-02	2.239566296339035034e-03	3.811142221093177795e-02
3.445659577846527100e-02	2.236127620562911034e-03	3.221813961863517761e-02
1.155965328216552734e-01	7.580817490816116333e-02	3.978836163878440857e-02
4.252179339528083801e-02	3.400234505534172058e-03	3.911750391125679016e-02
4.364010319113731384e-02	3.968456760048866272e-03	3.966806828975677490e-02
4.204268753528594971e-02	3.585360012948513031e-03	3.845351189374923706e-02
1.270353794097900391e-01	4.560094699263572693e-02	8.143442869186401367e-02
1.281474232673645020e-01	4.381816834211349487e-02	8.432926237583160400e-02
5.030089616775512695e-02	5.089520011097192764e-03	4.520645737648010254e-02
4.312984645366668701e-02	4.171592649072408676e-03	3.895386308431625366e-02
1.346936374902725220e-01	7.542666792869567871e-02	5.926696583628654480e-02
7.264970988035202026e-02	1.050327997654676437e-02	6.214642897248268127e-02
6.764856725931167603e-02	1.013350114226341248e-02	5.751506611704826355e-02
6.332629919052124023e-02	9.320769459009170532e-03	5.400552973151206970e-02
6.129614263772964478e-02	8.928924798965454102e-03	5.236721783876419067e-02
6.662349402904510498e-02	9.639031253755092621e-03	5.698446556925773621e-02
5.722005292773246765e-02	8.782575838267803192e-03	4.843747615814208984e-02
6.493972241878509521e-02	9.921832010149955750e-03	5.501789227128028870e-02
5.852235108613967896e-02	8.786538615822792053e-03	4.973581433296203613e-02
6.632201373577117920e-02	9.862353093922138214e-03	5.645965784788131714e-02
6.051178649067878723e-02	9.079285897314548492e-03	5.143250152468681335e-02
6.133597344160079956e-02	8.875419385731220245e-03	5.246055498719215393e-02
5.936089903116226196e-02	8.688526228070259094e-03	5.067237466573715210e-02
5.803891271352767944e-02	8.423607796430587769e-03	4.961530491709709167e-02
