Total_Loss	Data_Loss	Mass_Loss	Data_Loss_Sq	Mass_Loss_Sq
1.387144218750000000e+05	0.000000000000000000e+00	1.387140625000000000e+05	0.000000000000000000e+00	1.924159078400000000e+10
6.343423046875000000e+04	0.000000000000000000e+00	6.343404296875000000e+04	0.000000000000000000e+00	4.023877888000000000e+09
5.395123437500000000e+04	0.000000000000000000e+00	5.395105859375000000e+04	0.000000000000000000e+00	2.910716672000000000e+09
1.404039843750000000e+05	0.000000000000000000e+00	1.404035625000000000e+05	0.000000000000000000e+00	1.971316121600000000e+10
1.125557109375000000e+05	0.000000000000000000e+00	1.125555078125000000e+05	0.000000000000000000e+00	1.266874265600000000e+10
1.425071093750000000e+05	0.000000000000000000e+00	1.425065468750000000e+05	0.000000000000000000e+00	2.030811545600000000e+10
6.800701562500000000e+04	0.000000000000000000e+00	6.800678906250000000e+04	0.000000000000000000e+00	4.624923136000000000e+09
6.185069921875000000e+04	0.000000000000000000e+00	6.185046484375000000e+04	0.000000000000000000e+00	3.825479936000000000e+09
1.899630312500000000e+05	0.000000000000000000e+00	1.899624218750000000e+05	0.000000000000000000e+00	3.608572313600000000e+10
1.544207031250000000e+05	0.000000000000000000e+00	1.544204843750000000e+05	0.000000000000000000e+00	2.384568524800000000e+10
5.612475000000000000e+04	0.000000000000000000e+00	5.612456250000000000e+04	0.000000000000000000e+00	3.149966592000000000e+09
1.594737304687500000e+04	0.000000000000000000e+00	1.594730468750000000e+04	0.000000000000000000e+00	2.543165280000000000e+08
9.053152343750000000e+03	0.000000000000000000e+00	9.053112304687500000e+03	0.000000000000000000e+00	8.195884000000000000e+07
1.059881347656250000e+04	0.000000000000000000e+00	1.059876953125000000e+04	0.000000000000000000e+00	1.123339120000000000e+08
1.061658886718750000e+04	0.000000000000000000e+00	1.061655859375000000e+04	0.000000000000000000e+00	1.127113200000000000e+08
1.884173437500000000e+04	0.000000000000000000e+00	1.884168164062500000e+04	0.000000000000000000e+00	3.550089600000000000e+08
1.211941406250000000e+04	0.000000000000000000e+00	1.211937988281250000e+04	0.000000000000000000e+00	1.468793760000000000e+08
9.495390625000000000e+03	0.000000000000000000e+00	9.495353515625000000e+03	0.000000000000000000e+00	9.016173600000000000e+07
1.169790722656250000e+04	0.000000000000000000e+00	1.169785937500000000e+04	0.000000000000000000e+00	1.368399200000000000e+08
1.493982617187500000e+04	0.000000000000000000e+00	1.493977636718750000e+04	0.000000000000000000e+00	2.231969120000000000e+08
9.383432617187500000e+03	0.000000000000000000e+00	9.383399414062500000e+03	0.000000000000000000e+00	8.804818400000000000e+07
1.439578906250000000e+04	0.000000000000000000e+00	1.439574804687500000e+04	0.000000000000000000e+00	2.072375680000000000e+08
1.787726171875000000e+04	0.000000000000000000e+00	1.787721875000000000e+04	0.000000000000000000e+00	3.195949440000000000e+08
1.109209570312500000e+04	0.000000000000000000e+00	1.109206054687500000e+04	0.000000000000000000e+00	1.230338080000000000e+08
