Total_Loss	Data_Loss	Mass_Loss
4.035434126853942871e-02	2.239566296339035034e-03	3.811142221093177795e-02
3.234527632594108582e-02	1.871645217761397362e-03	3.047148697078227997e-02
2.095053158700466156e-02	3.357219044119119644e-03	1.759331300854682922e-02
3.486203029751777649e-02	1.979380380362272263e-03	3.287958726286888123e-02
3.597265109419822693e-02	2.594028832390904427e-03	3.337577357888221741e-02
3.490086272358894348e-02	2.696252427995204926e-03	3.220161795616149902e-02
9.582527913153171539e-03	1.203105202876031399e-03	8.379423059523105621e-03
9.464702568948268890e-03	1.108920318074524403e-03	8.355782367289066315e-03
3.555443137884140015e-02	2.526604104787111282e-03	3.302483633160591125e-02
3.248544037342071533e-02	2.453948603942990303e-03	3.002857044339179993e-02
1.420411746948957443e-02	2.818170934915542603e-03	1.138594653457403183e-02
2.171955537050962448e-03	1.710408105282112956e-04	2.000914653763175011e-03
1.763441949151456356e-03	1.415550505043938756e-04	1.621886854991316795e-03
1.802640152163803577e-03	1.411725388607010245e-04	1.661467598751187325e-03
1.768740592524409294e-03	1.331940875388681889e-04	1.635546446777880192e-03
1.770542934536933899e-03	1.337642170256003737e-04	1.636778702959418297e-03
1.368923694826662540e-03	1.035404930007643998e-04	1.265383209101855755e-03
1.722131273709237576e-03	1.368549710605293512e-04	1.585276331752538681e-03
1.469306647777557373e-03	1.137981889769434929e-04	1.355508458800613880e-03
1.934817992150783539e-03	1.517529453849419951e-04	1.783065032213926315e-03
1.583090983331203461e-03	1.207589593832381070e-04	1.462331973016262054e-03
1.583544886671006680e-03	1.218418401549570262e-04	1.461703097447752953e-03
1.612615538761019707e-03	1.231078640557825565e-04	1.489507732912898064e-03
1.494285417720675468e-03	1.190096299978904426e-04	1.375275780446827412e-03
