Total_Loss	Data_Loss	Mass_Loss
4.035434126853942871e-02	2.239566296339035034e-03	3.811142221093177795e-02
3.234527632594108582e-02	1.871645217761397362e-03	3.047148697078227997e-02
2.095053158700466156e-02	3.357219044119119644e-03	1.759331300854682922e-02
3.486203029751777649e-02	1.979380380362272263e-03	3.287958726286888123e-02
3.597265109419822693e-02	2.594028832390904427e-03	3.337577357888221741e-02
3.490086272358894348e-02	2.696252427995204926e-03	3.220161795616149902e-02
4.367931280285120010e-03	5.257182638160884380e-04	3.842212958261370659e-03
4.068530630320310593e-03	4.720342985820025206e-04	3.596496302634477615e-03
3.555443137884140015e-02	2.526604104787111282e-03	3.302483633160591125e-02
3.248544037342071533e-02	2.453948603942990303e-03	3.002857044339179993e-02
1.420411746948957443e-02	2.818170934915542603e-03	1.138594653457403183e-02
2.705455117393285036e-04	2.298795516253449023e-05	2.475575602147728205e-04
1.899362396216019988e-04	1.674014674790669233e-05	1.731960946926847100e-04
2.045519649982452393e-04	1.799418714654166251e-05	1.865577796706929803e-04
1.911355793708935380e-04	1.675710154813714325e-05	1.743784814607352018e-04
1.685811439529061317e-04	1.485098619014024734e-05	1.537301577627658844e-04
1.102379392250441015e-04	1.005996546155074611e-05	1.001779746729880571e-04
1.789361267583444715e-04	1.586810685694217682e-05	1.630680199014022946e-04
1.347826910205185413e-04	1.214079838973702863e-05	1.226418971782550216e-04
2.317524631507694721e-04	2.043737185886129737e-05	2.113150840159505606e-04
1.613372296560555696e-04	1.423397316102636978e-05	1.471032592235133052e-04
1.412748824805021286e-04	1.155831614596536383e-05	1.297165727009996772e-04
1.628467143746092916e-04	1.477839941799174994e-05	1.480683131376281381e-04
1.364371855743229389e-04	1.257754138350719586e-05	1.238596451003104448e-04
