Total_Loss	Data_Loss	Mass_Loss
4.035434126853942871e-02	2.239566296339035034e-03	3.811142221093177795e-02
3.234527632594108582e-02	1.871645217761397362e-03	3.047148697078227997e-02
2.095053158700466156e-02	3.357219044119119644e-03	1.759331300854682922e-02
3.486203029751777649e-02	1.979380380362272263e-03	3.287958726286888123e-02
3.597265109419822693e-02	2.594028832390904427e-03	3.337577357888221741e-02
3.490086272358894348e-02	2.696252427995204926e-03	3.220161795616149902e-02
8.364938199520111084e-03	1.022441429086029530e-03	7.342496421188116074e-03
8.205289021134376526e-03	9.255266049876809120e-04	7.279762532562017441e-03
3.555443137884140015e-02	2.526604104787111282e-03	3.302483633160591125e-02
3.248544037342071533e-02	2.453948603942990303e-03	3.002857044339179993e-02
1.420411746948957443e-02	2.818170934915542603e-03	1.138594653457403183e-02
1.637081848457455635e-03	1.225046726176515222e-04	1.514577190391719341e-03
1.306999241933226585e-03	9.983935888158157468e-05	1.207159832119941711e-03
1.352371531538665295e-03	1.027785474434494972e-04	1.249592984095215797e-03
1.325897057540714741e-03	9.879956633085384965e-05	1.227097469381988049e-03
1.305627985857427120e-03	9.365154983242973685e-05	1.211976399645209312e-03
1.001784112304449081e-03	7.236933743115514517e-05	9.294148185290396214e-04
1.266879611648619175e-03	9.522683831164613366e-05	1.171652809716761112e-03
1.082508359104394913e-03	8.042117406148463488e-05	1.002087141387164593e-03
1.459422637708485126e-03	1.111087258323095739e-04	1.348313875496387482e-03
1.179003622382879257e-03	8.846670243656262755e-05	1.090536941774189472e-03
1.161845284514129162e-03	8.280062320409342647e-05	1.079044654034078121e-03
1.200655126012861729e-03	9.025058534462004900e-05	1.110404497012495995e-03
1.088376855477690697e-03	8.277151209767907858e-05	1.005605328828096390e-03
