Total_Loss	Data_Loss	Mass_Loss
4.035434126853942871e-02	2.239566296339035034e-03	3.811142221093177795e-02
3.234527632594108582e-02	1.871645217761397362e-03	3.047148697078227997e-02
2.095053158700466156e-02	3.357219044119119644e-03	1.759331300854682922e-02
3.486203029751777649e-02	1.979380380362272263e-03	3.287958726286888123e-02
3.597265109419822693e-02	2.594028832390904427e-03	3.337577357888221741e-02
3.490086272358894348e-02	2.696252427995204926e-03	3.220161795616149902e-02
3.291928907856345177e-03	4.294727114029228687e-04	2.862456254661083221e-03
2.982109086588025093e-03	3.953190462198108435e-04	2.586790127679705620e-03
3.555443137884140015e-02	2.526604104787111282e-03	3.302483633160591125e-02
3.248544037342071533e-02	2.453948603942990303e-03	3.002857044339179993e-02
1.420411746948957443e-02	2.818170934915542603e-03	1.138594653457403183e-02
5.397527638706378639e-05	4.954389169142814353e-06	4.902088767266832292e-05
2.621246676426380873e-05	2.627311005198862404e-06	2.358515666855964810e-05
3.075630593230016530e-05	2.990633674926357344e-06	2.776567089313175529e-05
2.696607407415285707e-05	2.521881469874642789e-06	2.444419260427821428e-05
2.022304761339910328e-05	2.073024688797886483e-06	1.815002360672224313e-05
6.504702014353824779e-06	7.344793289121298585e-07	5.770222742285113782e-06
2.298051731486339122e-05	2.177972191930166446e-06	2.080254489555954933e-05
1.141362190537620336e-05	1.157670340035110712e-06	1.025595156534109265e-05
3.988919343100860715e-05	3.863590791297610849e-06	3.602560173021629453e-05
1.795918979041744024e-05	1.655597316130297258e-06	1.630359292903449386e-05
1.346812587144086137e-05	1.166410697805986274e-06	1.230171528732171282e-05
1.832459201978053898e-05	1.910893388412659988e-06	1.641369817662052810e-05
1.180370054498780519e-05	1.259266923625546042e-06	1.054443328030174598e-05
