Total_Loss	Data_Loss	Mass_Loss
4.035434126853942871e-02	2.239566296339035034e-03	3.811142221093177795e-02
3.234527632594108582e-02	1.871645217761397362e-03	3.047148697078227997e-02
2.095053158700466156e-02	3.357219044119119644e-03	1.759331300854682922e-02
3.486203029751777649e-02	1.979380380362272263e-03	3.287958726286888123e-02
3.597265109419822693e-02	2.594028832390904427e-03	3.337577357888221741e-02
3.490086272358894348e-02	2.696252427995204926e-03	3.220161795616149902e-02
5.232272204011678696e-03	6.155127775855362415e-04	4.616759251803159714e-03
4.959601908922195435e-03	5.514467484317719936e-04	4.408155102282762527e-03
3.555443137884140015e-02	2.526604104787111282e-03	3.302483633160591125e-02
3.248544037342071533e-02	2.453948603942990303e-03	3.002857044339179993e-02
1.420411746948957443e-02	2.818170934915542603e-03	1.138594653457403183e-02
5.260366597212851048e-04	4.239193367538973689e-05	4.836447478737682104e-04
3.926399513147771358e-04	3.237770215491764247e-05	3.602622600737959146e-04
4.146234714426100254e-04	3.423422822379507124e-05	3.803892468567937613e-04
3.943617048207670450e-04	3.265241321059875190e-05	3.617093025241047144e-04
3.625907993409782648e-04	2.903878339566290379e-05	3.335520159453153610e-04
2.562477602623403072e-04	2.154875801352318376e-05	2.346990077057853341e-04
3.725332499016076326e-04	3.058687434531748295e-05	3.419463755562901497e-04
2.973531081806868315e-04	2.480631883372552693e-05	2.725467784330248833e-04
4.578449297696352005e-04	3.795610973611474037e-05	4.198888200335204601e-04
3.416257095523178577e-04	2.800217771437019110e-05	3.136235463898628950e-04
3.125887305941432714e-04	2.386751475569326431e-05	2.887212031055241823e-04
3.436240076553076506e-04	2.884099194488953799e-05	3.147830138914287090e-04
2.996658440679311752e-04	2.541568028391338885e-05	2.742501674219965935e-04
