Total_Loss	Data_Loss	Mass_Loss
4.578571766614913940e-02	3.248688997700810432e-03	4.253280907869338989e-02
4.176709428429603577e-02	3.556072013452649117e-03	3.820803016424179077e-02
1.867290884256362915e-01	1.350476741790771484e-01	5.168141797184944153e-02
5.298495292663574219e-02	5.931004416197538376e-03	4.704856872558593750e-02
5.476716160774230957e-02	7.075514644384384155e-03	4.768672958016395569e-02
5.150943249464035034e-02	5.087852943688631058e-03	4.641675204038619995e-02
2.056805789470672607e-01	7.397653907537460327e-02	1.317040473222732544e-01
2.040153145790100098e-01	6.812544167041778564e-02	1.358898729085922241e-01
6.296034902334213257e-02	8.031479083001613617e-03	5.492208898067474365e-02
5.359631404280662537e-02	6.473889574408531189e-03	4.711676016449928284e-02
2.092576622962951660e-01	1.256564408540725708e-01	8.360121399164199829e-02
1.177193373441696167e-01	1.805555261671543121e-02	9.966378659009933472e-02
1.117327138781547546e-01	1.767905987799167633e-02	9.405365586280822754e-02
1.024740338325500488e-01	1.604002155363559723e-02	8.643401414155960083e-02
1.005254387855529785e-01	1.583264209330081940e-02	8.469279855489730835e-02
1.102112606167793274e-01	1.684801839292049408e-02	9.336324036121368408e-02
9.381267428398132324e-02	1.522052939981222153e-02	7.859214395284652710e-02
1.070356070995330811e-01	1.717300340533256531e-02	8.986260741949081421e-02
9.701956808567047119e-02	1.575387269258499146e-02	8.126568794250488281e-02
1.071940809488296509e-01	1.688257791101932526e-02	9.031150490045547485e-02
1.001917421817779541e-01	1.622772775590419769e-02	8.396401256322860718e-02
1.004029363393783569e-01	1.565978862345218658e-02	8.474314957857131958e-02
9.727098792791366577e-02	1.518159359693527222e-02	8.208939433097839355e-02
9.561701118946075439e-02	1.477978937327861786e-02	8.083721995353698730e-02
