Total_Loss	Data_Loss	Mass_Loss
4.035434126853942871e-02	2.239566296339035034e-03	3.811142221093177795e-02
3.234527632594108582e-02	1.871645217761397362e-03	3.047148697078227997e-02
2.095053158700466156e-02	3.357219044119119644e-03	1.759331300854682922e-02
3.486203029751777649e-02	1.979380380362272263e-03	3.287958726286888123e-02
3.597265109419822693e-02	2.594028832390904427e-03	3.337577357888221741e-02
3.490086272358894348e-02	2.696252427995204926e-03	3.220161795616149902e-02
9.931180626153945923e-03	1.255106180906295776e-03	8.676074445247650146e-03
9.825187735259532928e-03	1.162670319899916649e-03	8.662517182528972626e-03
3.555443137884140015e-02	2.526604104787111282e-03	3.302483633160591125e-02
3.248544037342071533e-02	2.453948603942990303e-03	3.002857044339179993e-02
1.420411746948957443e-02	2.818170934915542603e-03	1.138594653457403183e-02
2.330156043171882629e-03	1.863119541667401791e-04	2.143844030797481537e-03
1.900321920402348042e-03	1.552397297928109765e-04	1.745082205161452293e-03
1.937355147674679756e-03	1.548204018035903573e-04	1.782534760423004627e-03
1.899977796711027622e-03	1.452297001378610730e-04	1.754748052917420864e-03
1.907339785248041153e-03	1.461758947698399425e-04	1.761163934133946896e-03
1.479599392041563988e-03	1.139587548095732927e-04	1.365640666335821152e-03
1.856839051470160484e-03	1.494354801252484322e-04	1.707403571344912052e-03
1.586047350428998470e-03	1.248183689313009381e-04	1.461228937841951847e-03
2.076614182442426682e-03	1.661454880377277732e-04	1.910468796268105507e-03
1.703729038126766682e-03	1.321921736234799027e-04	1.571536879055202007e-03
1.708463300019502640e-03	1.340147427981719375e-04	1.574448542669415474e-03
1.735710771754384041e-03	1.345231721643358469e-04	1.601187628693878651e-03
1.615109154954552650e-03	1.302765595028176904e-04	1.484832610003650188e-03
