Sample ID	Tissue	Treatment	Timepoint	Species	B11	Na23	Mg26	Al27	P31	S34	K39	Ca44	Fe54	Mn55	Co59	Ni60	Cu63	Zn66	As75	Se78	Rb85	Sr88	Mo98	Cd111		NDVI800	NDVI850	reNDVI	PRI1	PRI2	PRI3	WBI	NDWI1	NDWI2	SR1	SR2	SR3	SR4	SR5	DWSI	SIPI	ARI1	ARI2	CRI1	CRI2	WCRI	CCI	CCI2	NIRv	R2131	R710	VIS_mean	NIR_mean	SWIR1_mean	SWIR2_mean	Chl	Car
E1.0_P22_2D_FeLim_L	Leaf	FeLim	2 d	Populus trichocarpa	21.87775191	6.592324154	1290.285152	9.672181687	3081.632625	22786.87717	22450.3392	1720.922487	13.92965518	84.6633584	0.002796746	0.117845463	3.006000676	24.19429632	0.00300208	-0.002391834	0.438448484	1.368917326	18.75209447	0.00516766		0.756221883	0.811680439	0.28870698	0.0006025	0.009682312	0.017716455	0.971057594	0.032214642	0.032274384	1.406862151	2.438311554	7.41681058	10.8522412	1.836695532	0.878319487	0.837504017	0.002363689	0.134791604	0.083585993	0.085949682	0.211380461	0.301633486	0.415695865	43.12427374	25.44729904	31.04094461	8.986468179	56.53891967	34.98747209	19.52728343	269.3994548	22.47370493
E1.0_P7_2D_FeLim_L	Leaf	FeLim	2 d	Populus trichocarpa	22.45473269	5.074460128	1281.827368	4.300329878	2612.298647	24256.69811	18366.28341	1830.806182	13.43457636	89.67744937	0.002915717	0.117620365	2.487891109	21.19173971	0.000999344	0.005503397	0.384979624	1.469322747	19.29073989	0.006588451		0.739817186	0.801679191	0.277398842	0.01059785	0.019652141	0.027764958	0.970626437	0.03289854	0.032944111	1.417265627	2.213467681	7.008915834	10.41007645	1.786228371	0.844934445	0.830549375	0.000428098	0.024168306	0.076042268	0.076470367	0.193333127	0.314550207	0.399886327	41.76641811	25.11209606	31.59122207	9.62402589	55.98507524	34.49869475	19.31605582	257.8326264	20.28473356
E1.0_P30_2D_FeLim_L	Leaf	FeLim	2 d	Populus trichocarpa	24.94591493	4.702517136	1393.385577	3.152192814	3090.261784	27188.5471	19176.84626	1970.829674	12.30717977	96.93271	0.003009857	0.143558602	2.623559553	23.56385724	0.001004347	0.003331706	0.454781965	1.552337217	20.47711225	0.006039836		0.73423392	0.785484878	0.288848658	0.015939271	0.024704659	0.032315805	0.972860834	0.030235118	0.030257029	1.407626364	2.241715463	6.257014946	9.144720414	1.83096675	0.829041495	0.809640262	-0.000917698	-0.05173649	0.070220182	0.069302485	0.20115209	0.301345192	0.407498079	41.39345563	24.95898628	30.74040861	9.872483382	55.97117298	34.63608517	19.39398439	260.4970675	20.98929169
E1.0_P4_2D_ZnEx_L	Leaf	ZnEx	2 d	Populus trichocarpa	24.79560438	5.337659088	1278.384775	10.36145027	2929.958503	27085.67741	18775.67446	1809.672346	13.50496092	80.18139258	0.003244953	0.400607338	1.900759737	185.4511595	0.000906836	-0.002735087	0.352427687	1.50313332	19.28158418	0.005901493		0.803015232	0.846604899	0.335528871	0.031260053	0.040980924	0.049599439	0.988146513	0.022624591	0.022592918	1.380273894	2.714007638	9.005599797	13.17873476	2.049985944	0.910690212	0.855939707	-0.003669704	-0.19499804	0.103898745	0.100229041	0.301088307	0.371728033	0.47410982	42.67003084	24.21207616	25.96151644	7.193415031	53.46812525	33.08823481	18.26520247	273.1942042	24.83302165
E1.0_P15_2D_ZnEx_L	Leaf	ZnEx	2 d	Populus trichocarpa	22.64799721	6.313297776	1352.89271	5.684283777	2703.664786	26637.30541	19483.59826	1995.043186	15.37617867	97.14186923	0.003136292	0.106464691	1.994388143	119.8725292	0.002184987	8.96175E-05	0.475581168	1.535296559	21.28074842	0.006911696		0.780486109	0.842786925	0.293920778	0.017224263	0.027418922	0.036774848	0.969825445	0.033315768	0.033405678	1.43059942	2.319541512	8.988917997	13.77235522	1.852746109	0.899420878	0.865193121	-0.001385501	-0.074183882	0.102748469	0.101362968	0.239475171	0.371707996	0.427035464	41.7895572	23.58177832	28.88403633	7.935671165	53.08482057	32.10977344	17.683508	253.8719178	21.32276201
E1.0_P20_2D_ZnEx_L	Leaf	ZnEx	2 d	Populus trichocarpa	26.49457011	6.973740765	1321.996427	4.566695827	2739.868271	24810.12984	21082.51285	1750.306215	14.79756246	85.68944573	0.003320681	0.151497924	2.406998705	149.5394125	0.002055152	0.002629043	0.442454559	1.400554015	19.2931181	0.005951193		0.774866719	0.830398395	0.300861782	0.012159886	0.021451168	0.030073106	0.974150864	0.026723671	0.026708323	1.398748828	2.457433772	8.355220809	12.3669273	1.888751968	0.885802427	0.851002309	-0.000722265	-0.0387951	0.095693275	0.09497101	0.246493347	0.342876366	0.433448097	41.62048515	24.24854028	28.42825033	8.051508505	53.50423007	32.95101153	18.2982479	259.1415216	22.05474442
E1.0_P9_2D_ZnLim_L	Leaf	ZnLim	2 d	Populus trichocarpa	29.71484257	6.623806789	1543.353575	3.71927852	2939.843306	23866.75459	21315.62329	2282.406466	27.79848899	107.7336036	0.00728267	0.544923328	2.952651468	29.6997332	0.002566658	0.008033894	0.381338902	2.076411444	18.6351775	0.007932494		0.778006342	0.819020534	0.335335155	0.026498522	0.035777998	0.043899384	0.971622525	0.030547542	0.030539916	1.414546652	2.549678556	7.487810722	11.00549116	2.050343437	0.901892288	0.834585426	-0.004131787	-0.256747174	0.074702019	0.070570232	0.242810887	0.332422518	0.468083469	48.34492915	27.13456404	30.30646706	9.243152227	61.7755329	37.55276489	20.70048286	309.9101203	28.31811379
E1.0_P18_2D_ZnLim_L	Leaf	ZnLim	2 d	Populus trichocarpa	25.3905605	8.498525323	1361.888879	3.855153775	2723.529042	23007.74361	23463.1408	1923.19631	20.90008977	89.47227063	0.004897923	0.123084682	2.412622155	25.59272838	0.005734253	0.002261372	0.55710617	1.526601728	20.9083775	0.005886826		0.770385651	0.816822769	0.316764961	0.03473746	0.043410655	0.050903853	0.972396863	0.031059067	0.031084807	1.39393892	2.408142239	7.403177968	10.85260916	1.956508899	0.86221547	0.830837932	-0.004288795	-0.257527763	0.07257951	0.068290715	0.228914428	0.350533374	0.445667454	46.2590778	27.17957405	30.66835395	9.437897946	59.60862114	36.84317689	20.71466197	290.8319864	25.36014536
E1.0_P28_2D_ZnLim_L	Leaf	ZnLim	2 d	Populus trichocarpa	21.81055537	6.884055762	1428.290534	3.394380095	3161.915331	23838.14167	21389.01476	1898.43325	23.76498392	93.61635314	0.012671754	0.217264776	2.362748488	43.98598577	0.00246282	0.008090564	0.443275737	1.574864348	18.14240657	0.006793665		0.756598238	0.798574655	0.318375893	0.024987955	0.034141097	0.041989518	0.970855265	0.032012312	0.032047042	1.417196843	2.376428797	6.583001123	9.696417157	1.964439739	0.864998549	0.81669007	-0.003739211	-0.215217606	0.073234213	0.069495003	0.23154539	0.316860261	0.443351007	43.54749459	25.4186438	29.25256976	9.349384055	57.06543107	34.98377427	19.60860137	277.3817814	24.25156216
E1.0_P11_4D_Ctrl_L	Leaf	Control	4 d	Populus trichocarpa	28.51907315	5.219572664	1385.067976	2.435434428	3087.520403	24232.61774	18314.66111	2013.668649	20.0652858	91.53045258	0.00292921	0.156502265	2.026015748	23.9065697	0.00270487	0.007249099	0.265277698	1.453236789	17.6070725	0.004855037		0.743991608	0.788713404	0.30344531	0.015772759	0.024782255	0.032800537	0.972242641	0.033173985	0.033237849	1.423528486	2.303578939	6.142265277	9.204974965	1.889485844	0.850890903	0.812463908	-0.000868525	-0.051219042	0.071189927	0.070321402	0.200940708	0.300436567	0.422378044	43.87501304	25.66380708	31.16514808	9.937199652	58.41897978	35.87106559	20.07584038	278.5371934	23.33097872
