gene_id,locus_id,reaction_id,reaction_name,role,complex_note,raw_cofactors
ATCG00720,ATCG00720,rxn20595_y0,rxn20595,"Cytochrome b6-f complex PetB, cytochrome b6 (EC 7.1.1.6)",universal,{3x Heme}
ATCG00020,ATCG00020,rxn20632_y0,rxn20632,Photosystem II protein D1 PsbA,universal,"{Fe-S, Fe}"
ATCG00020,ATCG00020,rxn20632_y0,rxn20632,Photosystem II protein D1 PsbA,universal,"{Mn4CaO5, Fe}"
ATCG00270,ATCG00270,rxn20632_y0,rxn20632,Photosystem II protein D2 PsbD,universal,{Fe}
ATCG00570,ATCG00570,rxn20632_y0,rxn20632,Cytochrome b559 beta chain PsbF,universal,{heme}
ATCG00580,ATCG00580,rxn20632_y0,rxn20632,Cytochrome b559 alpha chain PsbE,universal,{heme}
AT2G29630,AT2G29630,rxn20643_d0,rxn20643,Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17),universal,"{2x [4Fe-4S], [4Fe-4S]}"
AT2G43710,AT2G43710,rxn24508_d0,rxn24508,"Putative acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)",universal,{2x Fe}
AT3G02630,AT3G02630,rxn24508_d0,rxn24508,"Putative acyl-ACP desaturase, Stearoyl-ACP desaturase (EC 1.14.19.2)",universal,{2x Fe}
AT5G60600,AT5G60600,rxn26477_d0,rxn26477,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1),universal,{[4Fe-4S]}
ATCG00340,ATCG00340,rxn26754_d0,rxn26754,Photosystem I subunit Ib PsaB,universal,{[4Fe-4S]with ATCG00350 known as FX}
ATCG00350,ATCG00350,rxn26754_d0,rxn26754,Photosystem I subunit Ia PsaA,universal,{[4Fe-4S]with ATCG00340 known as FX}
ATCG01060,ATCG01060,rxn26754_d0,rxn26754,Photosystem I subunit VII iron-sulfur center PsaC,universal,{2x [4Fe-4S]}
AT5G04590,AT5G04590,rxn27266_d0,rxn27266,Ferredoxin--sulfite reductase (EC 1.8.7.1),universal,"{[4Fe-4S], sirohaem}"
